,,,,,UTILIZED IMPACT FACTORS,,,,farm gate (=1),PROXY DEFINITION,ENERGY USE MJ/kg,,,,GHG Emissions (kg CO2eq/kg),,,,additional processing inputs for select foods,,,VARIANCE CALCULATIONS,,,,,,,,,
,,,,number of times specific commodity appears in FCID recipe files,CED ,GHG ,,,,,PROXY?,,,,PROXY?,,,,Energy (MJ),GHG (kgCO2eq),,Energy Use (MJ/kg),,,,,GHGE,,,,
FCID_Code,FCID_Desc,Weight_Basis_ as defined by FCID,Comments (from FCID),N_Cases,MJ / kg,CO2 eq / kg,weight Conversion Factor,conversion factor source, or processor gate (=2)?,,,# of datapoints,N-average,Std. Dev,,# of datapoints,N-average,Std. Dev,,,,basis,n,proxy group mean,SD (group or indiv food),scaled SD (group SD*food mean/group mean),basis,n,proxy group mean,SD (group or indiv food),scaled SD (group SD*food mean/group mean)
600350000,"Soybean, oil",weight of oil,Includes lecithin.,50809,7.616,0.807,1,none,2,,DB value,2,7.616,1.603,DB value,1,0.807,#DIV/0!,,,,oils,16,11.8733252,5.663275464,3.632853787,oils,19,3.607475758,2.530618213,0.566020498
601043000,"Bean, snap, succulent",weight of bean and pod,"Includes green bean, string bean, runner bean, and wax bean.",5924,5.786,0.754,1.14,FICRCD,1,,DB value,2,5.075,1.450,DB value,9,0.662,0.925,,,,vegetables,60,3.490753676,2.891461549,4.203724675,DIRECT,9,,0.925405061,0.925405061
601257000,"Pea, edible podded, succulent",weight of pea and pod,,385,5.380,0.701,1.06,FICRCD,1,Bean_snap_succulent,PROXY,2,5.075,1.450,PROXY,9,0.662,0.925,,,,vegetables,60,3.490753676,2.891461549,4.203724675,vegetables,130,0.571432315,0.975672962,1.129550868
602031000,"Bean, broad, succulent",weight of bean and pod,Also called fava bean.,6,5.075,0.662,1,None,1,Bean_snap_succulent,PROXY,2,5.075,1.450,PROXY,9,0.662,0.925,,,,vegetables,60,3.490753676,2.891461549,4.203724675,vegetables,130,0.571432315,0.975672962,1.129550868
602033000,"Bean, cowpea, succulent",weight of bean; excluding pod,"Includes cowpea, crowder pea, blackeye pea, and southern pea.",96,5.075,0.662,1,None,1,Bean_snap_succulent,PROXY,2,5.075,1.450,PROXY,9,0.662,0.925,,,,vegetables,60,3.490753676,2.891461549,4.203724675,vegetables,130,0.571432315,0.975672962,1.129550868
602037000,"Bean, lima, succulent",weight of bean; excluding pod,,1465,5.075,0.662,1,None,1,Bean_snap_succulent,PROXY,2,5.075,1.450,PROXY,9,0.662,0.925,,,,vegetables,60,3.490753676,2.891461549,4.203724675,vegetables,130,0.571432315,0.975672962,1.129550868
602255000,"Pea, succulent",weight of peas,,4944,3.500,1.330,1,none,1,,DB value,1,3.500,0.000,DB value,6,1.330,1.524,,,,vegetables,60,3.490753676,2.891461549,2.899120465,DIRECT,6,,1.52354849,1.52354849
602259000,"Pea, pigeon, succulent",weight of pea,"In U.S. presently, usually found as canned pigeon peas.",7,3.227,1.054,1,None,1,Pea_pigeon_seed,PROXY,1,3.227,#DIV/0!,PROXY,1,1.054,#DIV/0!,,,,vegetables,60,3.490753676,2.891461549,2.672823405,vegetables,130,0.571432315,0.975672962,1.799446245
603030000,"Bean, black, seed",dry weight of bean,"Includes black turtle bean, Bayo, and brown bean.",770,4.756,0.308,1,None,1,bean_dry,PROXY,2,4.756,3.739,PROXY,9,0.308,0.195,,,,legume_seed,19,3.189953589,1.839062478,2.741799555,legume_seed,29,0.730832198,0.903866716,0.380659369
603032000,"Bean, broad, seed",dry weight of bean,Also called fava bean.,13,4.756,1.168,1,None,1,bean_dry,PROXY,2,4.756,3.739,DB value,2,1.168,0.931,,,,legume_seed,19,3.189953589,1.839062478,2.741799555,legume_seed,29,0.730832198,0.903866716,1.4440329
